filename, language, Properties, Markdown, JSON, HTML, SCSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboard\database-dashboard.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 106, 0, 1, 9, 116
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboard\database-dashboard.scss, SCSS, 0, 0, 0, 0, 19, 0, 0, 0, 3, 1, 23
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboards\database-dashboards.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 70, 0, 0, 5, 75
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-dashboards\database-dashboards.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-metrics\database-metrics.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 62, 0, 2, 8, 72
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-metrics\database-metrics.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-panels\database-panels.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 66, 0, 0, 8, 74
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-panels\database-panels.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\databases\databases.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 93, 0, 15, 17, 125
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\databases\databases.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\metrics-selection\metrics-selection.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 94, 0, 1, 13, 108
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\metrics-selection\metrics-selection.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\visualization-settings\visualization-settings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\panel-creation\visualization-settings\visualization-settings.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\first-step\first-step.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 80, 0, 0, 8, 88
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\first-step\first-step.scss, SCSS, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\second-step\second-step.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 112, 0, 0, 10, 122
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\second-step\second-step.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\third-step\third-step.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 100, 0, 0, 11, 111
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\stepper\third-step\third-step.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\polyfill.js, JavaScript, 0, 0, 0, 0, 0, 13, 0, 0, 25, 9, 47
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\routes.js, JavaScript, 0, 0, 0, 0, 0, 110, 0, 0, 1, 9, 120
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_custom.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_ie-fix.scss, SCSS, 0, 0, 0, 0, 9, 0, 0, 0, 1, 2, 12
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\_variables.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\style.scss, SCSS, 0, 0, 0, 0, 5, 0, 0, 0, 5, 5, 15
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\scss\vendors\_variables.scss, SCSS, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\serviceWorker.js, JavaScript, 0, 0, 0, 0, 0, 85, 0, 0, 30, 13, 128
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\backend-urls.js, JavaScript, 0, 0, 0, 0, 0, 20, 0, 0, 6, 9, 35
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\dashboards-actions.js, JavaScript, 0, 0, 0, 0, 0, 71, 0, 0, 3, 7, 81
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\databases-actions.js, JavaScript, 0, 0, 0, 0, 0, 60, 0, 0, 3, 7, 70
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\dbTables-actions.js, JavaScript, 0, 0, 0, 0, 0, 27, 0, 0, 1, 3, 31
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\metrics-actions.js, JavaScript, 0, 0, 0, 0, 0, 68, 0, 0, 3, 7, 78
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\panel-actions.js, JavaScript, 0, 0, 0, 0, 0, 66, 0, 0, 3, 7, 76
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\queryData-actions.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
